,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007043,BP,GO:0007043,cell-cell junction assembly,15/2567,43/6969,0.659982205,1,0.977374986,ACTB/CLDN10/CLDN19/CLDN22/CLDN6/CTNNB1/ESAM/MARVELD2/NPHP1/OCLN/POF1B/RAMP2/ROCK1/TRPV4/WNT11,15
GO:0045598,BP,GO:0045598,regulation of fat cell differentiation,15/2567,43/6969,0.659982205,1,0.977374986,ATAT1/CCDC85B/CEBPA/GNB3/GPER1/GPS2/HDAC6/INSIG1/LRP3/MAPK14/MEDAG/TNF/TRPV4/WIF1/WNT1,15
GO:0045765,BP,GO:0045765,regulation of angiogenesis,26/2567,74/6969,0.661596505,1,0.977374986,ANGPT2/CCBE1/CXCL10/DLL1/FGF1/FGF18/FKBPL/FOXO4/GATA6/GTF2I/IL10/KLF2/MTDH/NR2E1/NRP1/RAMP2/RHOB/ROCK1/SEMA3E/SEMA6A/SERPINE1/SERPINF1/STAT1/THBS1/TSPAN12/VASH2,26
GO:0048762,BP,GO:0048762,mesenchymal cell differentiation,26/2567,74/6969,0.661596505,1,0.977374986,AMER1/BAMBI/BMP4/BMPR1A/CRB2/CTNNB1/EDNRB/EXT1/FGFR2/FOXA1/HTR2B/MTOR/NRP1/RBPJ/ROCK1/SEMA3E/SEMA4D/SEMA6A/SMAD4/SOX10/SPRY1/STAT1/TGFB3/TGFBR1/TGFBR3/WNT11,26
GO:0018209,BP,GO:0018209,peptidyl-serine modification,31/2567,88/6969,0.661873242,1,0.977374986,APP/CLK1/DYRK1A/EPO/GALNT1/GALNT4/HDAC6/HIPK3/HIPK4/HRC/IFN-OMEGA-6/IFNE/IFNK/MAP3K12/MAPK14/MAPK9/MTOR/PAQR3/PCK1/PDCD10/PDK3/RASSF2/ROCK1/RPS6KB1/SLC1A1/SMYD3/STOX1/TBK1/TLK1/TSSK2/VRK2,31
GO:0022604,BP,GO:0022604,regulation of cell morphogenesis,21/2567,60/6969,0.662831811,1,0.977374986,ANXA1/BAMBI/CAPRIN1/CDC42EP1/ENPP2/FN1/GNA13/HEXB/NHERF1/PAFAH1B1/PALM3/PALMD/PEAK3/PLAA/RAB21/RDX/RHOQ/SEMA3E/SEMA4D/SYT3/ZRANB1,21
GO:0006816,BP,GO:0006816,calcium ion transport,36/2567,102/6969,0.663040417,1,0.977374986,ADRA2A/ATP2B1/CACNB1/CACNG6/CALM2/CALM3/CASR/CRACR2B/CTNNB1/CXCL10/CXCL9/EDNRB/EFHB/EPO/ERO1A/GP9/GPER1/HRC/HTR2B/IBTK/MCU/MICU1/ORAI2/PKD2/PLCH1/PTPN6/RAMP1/RAMP2/RCVRN/SLC24A5/SLC35G1/SLN/TMCO1/TMEM38B/TRPC3/TRPV4,36
GO:0007417,BP,GO:0007417,central nervous system development,76/2567,213/6969,0.663371977,1,0.977374986,AGTPBP1/AKIRIN2/APP/ARNT2/ATAT1/B3GNT5/B4GALT6/BARHL1/BMI1/BMP4/BMPR1A/BTBD3/CCDC39/CEP120/CHD8/CLN5/CNTN5/DCT/DCX/DLL1/DLX2/DUSP15/EPHB3/EPOR/EXT1/FGFR2/FOXJ1/FZD3/GHRH/GIT2/GPM6B/HMX3/HOXA2/HOXB2/HOXB8/INHBA/KRAS/LHX1/LHX2/LIG4/MED1/METTL14/MNAT1/MNX1/MTOR/NCSTN/NFIB/NME5/NR2E1/NR4A2/NRP1/PAFAH1B1/PALS1/PDSS2/PKD2/POU3F2/PROP1/PTPN11/RBPJ/RTN4RL1/SALL1/SEMA3E/SLC1A1/SLC23A1/SLC45A3/SMARCA1/SOX10/SOX4/SUZ12/TAOK1/TPP1/TRNP1/VPS4B/WDR62/WNT1/WNT2B,76
GO:0003073,BP,GO:0003073,regulation of systemic arterial blood pressure,9/2567,26/6969,0.663747279,1,0.977374986,ADORA1/AR/BMPR2/EDNRB/ENPEP/F2RL1/KCNK6/NCALD/OXTR,9
GO:0006405,BP,GO:0006405,RNA export from nucleus,9/2567,26/6969,0.663747279,1,0.977374986,FMR1/FYTTD1/HHEX/NCBP2/NUP214/NUP85/PHAX/SSB/THOC2,9
GO:0015844,BP,GO:0015844,monoamine transport,9/2567,26/6969,0.663747279,1,0.977374986,ACTB/DTNBP1/GPM6B/HTR1B/SLC18A2/SLC18B1/SLC22A2/SNCG/SYT3,9
GO:0032091,BP,GO:0032091,negative regulation of protein binding,9/2567,26/6969,0.663747279,1,0.977374986,ACTB/DTNBP1/EFHB/IL10/ITGA4/MITD1/NFATC4/ROCK1/STYX,9
GO:0042177,BP,GO:0042177,negative regulation of protein catabolic process,9/2567,26/6969,0.663747279,1,0.977374986,IL10/MAD2L1/MARCHF7/N4BP1/OGT/RIC1/STYX/TAF9/WAC,9
GO:1901607,BP,GO:1901607,alpha-amino acid biosynthetic process,9/2567,26/6969,0.663747279,1,0.977374986,AASDHPPT/ALDH18A1/APIP/ASNSD1/GLS2/MTAP/MTHFD1/NAGS/PHGDH,9
GO:0051236,BP,GO:0051236,establishment of RNA localization,16/2567,46/6969,0.666867995,1,0.977374986,FLOT1/FMR1/FYTTD1/HHEX/IGF2BP2/KPNB1/NCBP2/NUP188/NUP214/NUP85/NXT2/PHAX/QKI/SSB/TERF1/THOC2,16
GO:0071248,BP,GO:0071248,cellular response to metal ion,16/2567,46/6969,0.666867995,1,0.977374986,ALOX5AP/CDKN1B/CEBPA/CPNE8/CYP1A2/DPEP1/MAPK9/NCSTN/NEK7/NFATC4/NFE2L2/PRKAA2/SLC1A1/SLC39A8/SUMO1/SYT3,16
GO:0016032,BP,GO:0016032,viral process,27/2567,77/6969,0.667792486,1,0.977374986,ATG12/BICD1/CAV2/CHMP2B/CNOT7/CSDE1/DDX3X/DDX6/EIF3A/FMR1/MDFIC/MX1/N4BP1/NRP1/OAS1/PAIP1/PLSCR1/SIGLEC1/SMC6/SSB/TOP2A/TRIM10/TRIM14/TRIM59/TRIM8/VPS4B/ZNF639,27
GO:0045333,BP,GO:0045333,cellular respiration,32/2567,91/6969,0.667799842,1,0.977374986,ACLY/ACO1/ATP5ME/ATP5PB/CCNB1/COQ10A/COX1/COX2/COX3/COX7A1/CS/CYP1A2/CYTB/ETFRF1/IDE/IDH1/IDH3A/LYRM7/MDH1/ND1/ND2/ND3/ND4/ND4L/ND5/ND6/NDUFA5/NDUFS1/NFATC4/SLC25A22/TEFM/TRPV4,32
GO:0007029,BP,GO:0007029,endoplasmic reticulum organization,10/2567,29/6969,0.670472854,1,0.977374986,ATL2/CAV2/LNPK/MMGT1/POLR2M/RAB18/REEP3/TMCO1/TMEM170A/TMEM38B,10
GO:0007224,BP,GO:0007224,smoothened signaling pathway,10/2567,29/6969,0.670472854,1,0.977374986,EXT1/FGF9/FGFR2/FOXA1/GLIS2/IFT52/IQUB/KCTD6/SHOX2/TMEM17,10
GO:0045666,BP,GO:0045666,positive regulation of neuron differentiation,10/2567,29/6969,0.670472854,1,0.977374986,ADRA2B/BCL6/BEND6/BMP4/CYB5D2/DLX2/FOXA1/HOXD3/LIN28A/ZC4H2,10
GO:0023061,BP,GO:0023061,signal release,47/2567,133/6969,0.672049572,1,0.977374986,ADRA2A/ANXA1/BIRC5/BLK/CADPS2/CTBP2/DTNBP1/EDNRB/F2RL1/FFAR2/GDF9/GHRH/GHRL/GHSR/GJA1/GPER1/HNF1A/HNF1B/HNF4A/HTR1B/IL6/INHBA/LIN7C/NMB/PDX1/PORCN/PRKAR1A/PTPN11/RAB11FIP2/RAB1A/RAB3A/RAB5A/RAP1A/SELENOT/SERP1/SLC18A2/SMAD4/SNAP23/SNAPIN/SNCG/SOX4/SV2A/SYN1/SYT3/TNF/TP53/TRPV4,47
GO:0010634,BP,GO:0010634,positive regulation of epithelial cell migration,17/2567,49/6969,0.673433159,1,0.977374986,ADAM9/ANXA1/BMP4/BMPR2/CCBE1/ENPP2/FGF1/FGF18/GATA3/HDAC6/MET/MTOR/NRP1/NUS1/RAB11A/RHOB/THBS1,17
GO:1901875,BP,GO:1901875,positive regulation of post-translational protein modification,17/2567,49/6969,0.673433159,1,0.977374986,AMER1/ARRDC3/BMI1/CDC20/DDX3X/EGR1/FANCI/FBXO33/GNL3/HUWE1/MAPK9/MARCHF7/NDFIP2/OGT/SMAD4/TOPORS/UBE3A,17
GO:1905952,BP,GO:1905952,regulation of lipid localization,17/2567,49/6969,0.673433159,1,0.977374986,ABCG4/C3/CIDEA/CYP8B1/GDF9/GPS2/IL6/NMB/NUS1/OSBPL8/PLIN2/PTPN11/SAR1B/THBS1/TNF/TP53/TRPV4,17
GO:0006310,BP,GO:0006310,DNA recombination,33/2567,94/6969,0.673540626,1,0.977374986,ACTB/ACTL6A/BCL6/BLM/BRCA1/CHEK1/DMC1/EME1/GEN1/H1-0/HDAC10/HELQ/HMGB2/ING3/INO80/INTS3/KLHL15/KMT5B/LIG4/MND1/MUS81/PALB2/PARPBP/RAD21/RAG1/RMI1/RNF138/SFR1/SHLD2/SMC6/TFRC/TOP2A/UCHL5,33
GO:0002757,BP,GO:0002757,immune response-activating signaling pathway,38/2567,108/6969,0.674214298,1,0.977374986,APPL1/ATAT1/BLK/BMX/BPIFB1/DDX3X/DHX58/F2RL1/FCER1G/FFAR2/FLOT1/GATA3/GPS2/HAVCR2/IRF7/LACC1/LGR4/LRRC19/LSM14A/NEK7/NFATC2/NLRC3/NLRX1/PJA2/PLEKHA1/PLSCR1/PTPN6/RAB11FIP2/RSAD2/TASL/TEC/TIFA/TLR1/TLR3/TLR6/TRAF6/TXK/TYROBP,38
GO:0031401,BP,GO:0031401,positive regulation of protein modification process,87/2567,244/6969,0.67424271,1,0.977374986,ADAM9/ADRA2A/ADRA2B/AMER1/APP/AREG/ARRDC3/AZU1/BMI1/C3/CALM2/CALM3/CASS4/CDC20/CDC25B/CLDN19/DDX3X/DYRK1A/EGR1/ENPP2/EPO/EREG/ERP29/FANCI/FBN1/FBXO33/FCGR1A/FGF1/FGF18/FGF21/FGF9/FLOT1/FMR1/GATA1/GDF9/GNL3/GPER1/HDAC6/HTR2B/HUWE1/IFN-OMEGA-6/IFNE/IFNK/IL15/IL6R/JAK2/KRAS/MAP3K12/MAP3K7/MAP4K2/MAPK9/MARCHF7/MNAT1/MTOR/NDFIP2/NEDD9/NRP1/OGT/PDCD10/PKD2/PRKAA2/PTPN11/RAMP1/RAP2C/RASSF2/SEMA4D/SLC1A1/SLC27A1/SLCO3A1/SMAD4/SMYD3/SOX4/SPDYA/SPDYC/SRCIN1/STOX1/TAOK1/TCIM/TELO2/THBS1/TNFSF15/TOPORS/TRAF6/TRIM65/TRPV4/UBE3A/WNT1,87
GO:0071559,BP,GO:0071559,response to transforming growth factor beta,23/2567,66/6969,0.675465846,1,0.977374986,ADAM9/APPL1/ASPN/BAMBI/CAV1/CAV2/CD109/CIDEA/LDLRAD4/LEMD3/LOX/PALS1/RASL11B/ROCK1/SMAD3/SMAD4/SMAD9/SPRY1/TGFB3/TGFBR1/TGFBR3/THBS1/WNT1,23
GO:0030317,BP,GO:0030317,flagellated sperm motility,11/2567,32/6969,0.676895593,1,0.977374986,CATSPER2/CCDC39/CFAP206/CFAP58/CFAP97D1/DEFB1/DEFB1/DNAAF6/MNS1/TAC4/TEKT1,11
GO:0042752,BP,GO:0042752,regulation of circadian rhythm,11/2567,32/6969,0.676895593,1,0.977374986,FBXL3/HNF4A/ID2/MAPK9/MTOR/PPP1CB/PRKAA2/TOP2A/TP53/UBE3A/USP2,11
GO:0048663,BP,GO:0048663,neuron fate commitment,11/2567,32/6969,0.676895593,1,0.977374986,BMP4/DLL1/DLX2/FOXA1/ID2/MNX1/NFIB/POU3F2/RBPJ/SMAD4/WNT1,11
GO:0050770,BP,GO:0050770,regulation of axonogenesis,11/2567,32/6969,0.676895593,1,0.977374986,BMPR2/EFNB3/EPHB3/ISLR2/NRP1/POU3F2/RUFY3/SEMA3E/SEMA4D/SEMA6A/SHOX2,11
GO:0097722,BP,GO:0097722,sperm motility,11/2567,32/6969,0.676895593,1,0.977374986,CATSPER2/CCDC39/CFAP206/CFAP58/CFAP97D1/DEFB1/DEFB1/DNAAF6/MNS1/TAC4/TEKT1,11
GO:1903900,BP,GO:1903900,regulation of viral life cycle,11/2567,32/6969,0.676895593,1,0.977374986,CNOT7/DDX3X/FMR1/MX1/N4BP1/OAS1/PLSCR1/TOP2A/TRIM10/TRIM59/TRIM8,11
GO:0051049,BP,GO:0051049,regulation of transport,162/2567,451/6969,0.678552388,1,0.977374986,ABCG4/ACAA2/ACTB/ADAM9/ADORA1/ADRA2A/AHCYL1/ANXA1/APBB3/APLN/APPL1/ATAD1/ATP1A1/ATP2B1/AZU1/BICD1/BIRC5/BLK/BMP4/BNIP3L/BPIFA1/C3/CACNA2D1/CACNB1/CACNG4/CACNG6/CACNG7/CADPS2/CALM2/CALM3/CASR/CBL/CD47/CLDN10/CLDN19/COLEC11/CRACR2B/CTNNB1/CXCL10/CXCL9/CYP8B1/DENND10/DLL1/DNAJC6/DTNBP1/EFHB/EPO/ERP29/F2RL1/FCER1G/FCGR1A/FFAR2/FGF21/FLOT1/FMR1/FXYD3/GCC2/GDF9/GHRH/GHRL/GJA1/GOLPH3L/GOPC/GPER1/GPM6B/GPS2/HIP1R/HNF1A/HNF4A/HRC/HSPA1L/HTR1B/IL15/IL6/INHBA/INPP5F/INSIG1/KCND3/KCNE3/KCNG1/KCNIP3/KCNJ13/KCNJ2/KCNJ4/KCNJ9/KLHL24/LGI3/LRRTM2/MAP1B/MAPK1/MAPK14/MIB1/MYO6/NDFIP2/NFE2L2/NHERF1/NMB/NUP214/NUS1/P2RY12/PDCD10/PDX1/PDZK1/PIK3R1/PKD2/PLAA/PLD1/PRKAR1A/PRSS8/PTPN11/PTPN6/RAB11A/RAB21/RAB26/RAB27A/RAB33B/RAB3A/RAB4A/RAB5A/RAB9A/RANGRF/RAP1A/RCVRN/RDX/RHBDD3/RHOQ/RIC1/RINT1/RNF139/ROCK1/RSAD2/RUBCN/RUFY1/SAR1B/SCN3B/SERP1/SIGLEC1/SLC1A1/SLC25A4/SLN/SMAD4/SNAPIN/SNCG/SOX4/SUMO1/SYN1/SYNGR3/SYT3/TAMALIN/TGFB3/THBS1/TMED10/TMEM168/TMEM38B/TNF/TP53/TRPC3/TRPV4/VPS4B/YIPF5/ZFAND1/ZP3,162
GO:0019221,BP,GO:0019221,cytokine-mediated signaling pathway,53/2567,150/6969,0.679061605,1,0.977374986,AMCF-II/APPL1/CCL17/CEBPA/CNOT7/CNTF/CXCL10/CXCL9/DUOX2/EGR1/EPO/EPOR/EREG/EXT1/F2RL1/FCER1G/GPS2/IFN-OMEGA-6/IFNAR1/IFNE/IFNGR1/IFNK/IL12RB2/IL15/IL18RAP/IL6/IL6R/IL7/IRF7/JAK1/JAK2/LSM14A/MAP3K7/MED1/NKIRAS1/PAFAH1B1/PRLR/RBM15/SLC1A1/SLC27A1/SMAD4/SOCS5/STAT1/THPO/TNF/TNFSF13B/TRAF5/TRAF6/TRIM65/TXK/TYK2/VRK2/ZC3H15,53
GO:0030900,BP,GO:0030900,forebrain development,34/2567,97/6969,0.679106614,1,0.977374986,AGTPBP1/AKIRIN2/APP/ATAT1/BMP4/BMPR1A/BTBD3/CEP120/DCT/DCX/DLX2/EPHB3/EXT1/GHRH/INHBA/KRAS/LHX1/LHX2/METTL14/NFIB/NR2E1/NR4A2/NRP1/PAFAH1B1/PALS1/POU3F2/PROP1/RBPJ/RTN4RL1/SALL1/SEMA3E/WDR62/WNT1/WNT2B,34
GO:0071692,BP,GO:0071692,protein localization to extracellular region,34/2567,97/6969,0.679106614,1,0.977374986,ADAM9/ADRA2A/ANXA1/APBB3/BIRC5/BLK/BLOC1S6/EDNRB/ERP29/F2RL1/FFAR2/GHRL/GOLPH3L/GPER1/HNF1A/HNF1B/HNF4A/IL6/MTTP/PAFAH1B1/PDX1/PORCN/PRKAR1A/PTPN11/RAB11FIP2/RAB3A/RHBDD3/RSAD2/SELENOT/SERP1/SNCG/SOX4/TGFB3/TMED10,34
GO:0019827,BP,GO:0019827,stem cell population maintenance,18/2567,52/6969,0.679710467,1,0.977374986,BCL9/BMPR1A/CNOT2/DDX6/DLL1/GNL3/LEO1/LIG4/LIN28A/LSM1/MED14/METTL14/MTF2/NFIB/NR2E1/RBPJ/SOX4/TRIM8,18
GO:0098727,BP,GO:0098727,maintenance of cell number,18/2567,52/6969,0.679710467,1,0.977374986,BCL9/BMPR1A/CNOT2/DDX6/DLL1/GNL3/LEO1/LIG4/LIN28A/LSM1/MED14/METTL14/MTF2/NFIB/NR2E1/RBPJ/SOX4/TRIM8,18
GO:0006753,BP,GO:0006753,nucleoside phosphate metabolic process,58/2567,164/6969,0.681181147,1,0.977374986,AASS/ACACA/ACAT1/ACLY/ACSL4/ACSM3/ACSS2/ADK/ADSS2/AK1/AK3/AMPD3/ATIC/ATP5ME/ATP5PB/ATP6/ATP8/CMPK1/CROT/DERA/DLAT/ELOVL3/FLAD1/GMPR/GMPR2/GNAI3/GUCY1A1/HMGCS1/HPRT1/KMO/LACC1/MDH1/MFN1/MTHFD1/NADK2/NAMPT/NAXD/NME4/NME5/NT5C3A/NUDT7/PANK1/PANK2/PANK3/PDE4D/PDHA1/PDHB/PDHX/PDK3/PPAT/PRPSAP1/PRTFDC1/RHOQ/RNASEH2B/RRM2B/SHPK/SULT1C3/SULT2A1,58
GO:0009612,BP,GO:0009612,response to mechanical stimulus,12/2567,35/6969,0.683044105,1,0.977374986,ATAT1/CHEK1/LRP11/MAP3K1/MAP3K2/MAPK14/PKD2/PPL/SOST/STRA6/USP53/WNT11,12
GO:0010595,BP,GO:0010595,positive regulation of endothelial cell migration,12/2567,35/6969,0.683044105,1,0.977374986,ANXA1/BMP4/BMPR2/CCBE1/FGF1/FGF18/GATA3/MET/NRP1/NUS1/RHOB/THBS1,12
GO:0051963,BP,GO:0051963,regulation of synapse assembly,12/2567,35/6969,0.683044105,1,0.977374986,ADGRL2/APP/EPHB3/GHRL/GHSR/LINGO4/LRRTM2/OGT/SEMA4D/SIX4/SLITRK3/TPBG,12
GO:0060294,BP,GO:0060294,cilium movement involved in cell motility,12/2567,35/6969,0.683044105,1,0.977374986,CATSPER2/CCDC39/CFAP206/CFAP58/CFAP97D1/DEFB1/DEFB1/DNAAF6/MNS1/RSPH9/TAC4/TEKT1,12
GO:0061572,BP,GO:0061572,actin filament bundle organization,12/2567,35/6969,0.683044105,1,0.977374986,ALMS1/CARMIL1/LIMA1/MET/MTOR/NRP1/PIK3R1/PLS3/RHPN1/TACSTD2/TGFB3/WNT11,12
GO:2000779,BP,GO:2000779,regulation of double-strand break repair,12/2567,35/6969,0.683044105,1,0.977374986,ACTB/ACTL6A/CHEK1/FOXM1/HELQ/ING3/KLHL15/KMT5B/PARPBP/POT1/PPP4R3B/SHLD2,12
GO:0019058,BP,GO:0019058,viral life cycle,19/2567,55/6969,0.685727434,1,0.977374986,CAV2/CHMP2B/CNOT7/DDX3X/DDX6/FMR1/MX1/N4BP1/NRP1/OAS1/PLSCR1/SIGLEC1/SMC6/TOP2A/TRIM10/TRIM59/TRIM8/VPS4B/ZNF639,19
GO:0045597,BP,GO:0045597,positive regulation of cell differentiation,77/2567,217/6969,0.686491955,1,0.977374986,ADRA2B/ANKRD54/ANXA1/AR/BAMBI/BCL6/BEND6/BLOC1S6/BMP4/BMPR1A/BMPR2/CAPRIN1/CD27/CEBPA/CRB2/CSF3/CTNNB1/CXCL9/CYB5D2/DCT/DLX2/DNAI3/FGF18/FOXA1/FOXJ1/FZD3/GATA1/GATA3/GDF9/GDPD2/GJA1/GPER1/HAPLN2/HOXD3/IL10/IL7/INHBA/ISLR2/KDF1/KRAS/LHX1/LIG4/LIN28A/LRP3/LTF/MAML1/MAPK14/MAPK9/MED1/MEDAG/MTOR/MYOG/NAP1L1/NEDD9/NR2E1/NRP1/PAFAH1B1/PCK1/PDE3A/PROC/RAB21/RAP1A/SEMA4D/SERPINF1/SHOX2/SMAD4/SOCS5/SOX4/STAT1/TACSTD2/TENT5A/TGFB3/TRAF6/WIF1/ZBTB1/ZC4H2/ZHX3,77
GO:0002699,BP,GO:0002699,positive regulation of immune effector process,25/2567,72/6969,0.687163214,1,0.977374986,ANXA1/COLEC11/DDX21/DHX58/F2RL1/FCGR1A/FFAR2/IL10/IL18RAP/KMT5B/LACC1/LTA/MAP3K7/MZB1/PCK1/PLA2G5/PTPN6/RSAD2/SHLD2/SOCS5/TFRC/TRAF6/TYROBP/ZBTB1/ZP3,25
GO:0010628,BP,GO:0010628,positive regulation of gene expression,128/2567,358/6969,0.687191175,1,0.977374986,A1CF/ACTA1/ADRA2A/AKIRIN2/ANGEL2/ANXA1/APP/APPL1/AR/ARFGEF2/AZU1/BCDIN3D/BMP4/BMPR1A/BMPR2/CASR/CCBE1/CEBPA/CLDN19/CSDE1/DDX21/DDX3X/DHX29/DHX58/DLL1/DND1/DTNBP1/DYRK1A/EGR1/EREG/ERP29/F2RL1/FAM98A/FAM98B/FASTKD2/FCER1G/FFAR2/FGF21/FGF9/FGFR4/FLOT1/FMR1/GATA3/GATA6/GJA1/GPER1/GUF1/HAVCR2/HHLA2/HMGB2/HOXD3/HSP90AA1/HTR2B/ID2/IL10/IL15/IL33/IL7/INHBA/IRF7/JAK2/KMT5B/KRAS/LACC1/LIN28A/LRP3/LTA/LURAP1/MAP3K7/MAPK14/MAPK9/MBIP/MED1/METTL14/MTOR/MZB1/NFATC2/NFATC4/NFE2L2/NMB/NMBR/NTS/OGT/OSR2/PAIP1/PDCD10/PHF8/PIK3R1/PLD1/POU2AF1/POU2F2/PRKAG1/PTGFR/PTPN11/RAB1A/RAB27A/RAMP2/RBPJ/ROCK1/RPS6KB1/RSAD2/SERP1/SETD4/SHLD2/SLC38A2/SOX4/SPDYA/SSB/STAT1/STING1/STOX1/TENT5A/TENT5C/TFRC/TGFBR1/THBS1/TMED10/TRAF5/TRAF6/TRIM65/TRMT10C/TRPV4/TRUB1/TXK/UPF3B/WNT11/ZC3H10/ZP3,128
GO:0008380,BP,GO:0008380,RNA splicing,55/2567,156/6969,0.688535408,1,0.977374986,ARVCF/CCNL1/CDC40/CDC5L/CLK1/CLK4/CWC22/CWF19L1/DYRK1A/ESRP1/FMR1/FRA10AC1/GEMIN2/GEMIN6/GPKOW/HNRNPA1/HNRNPH3/LSM2/LSM6/LSM8/MBNL1/MBNL3/METTL14/MFAP1/NCBP2/NSRP1/PAXBP1/PIK3R1/PNN/PPIL1/PRPF39/PRPF40A/PSIP1/PTBP3/QKI/RBFOX2/RBM15/RBM39/RBM41/RBM7/SCAF11/SLC38A2/SLU7/SMU1/SNRNP35/SON/SRSF1/SRSF11/SUGP2/TSEN15/TSEN2/WTAP/ZC3H10/ZNF638/ZRANB2,55
GO:0090066,BP,GO:0090066,regulation of anatomical structure size,55/2567,156/6969,0.688535408,1,0.977374986,ADD3/ADORA1/ADRA1D/ADRA2A/ADRA2B/ARFGEF1/ATP2B1/BMPR2/CAPZA1/CAPZA2/CARMIL1/CDC42EP1/CFL2/COX1/COX2/DRD1/DSTN/EDNRA/EDNRB/ESAM/EXT1/F2RL1/GNB3/HIP1R/HP1BP3/HTR1B/HTR2B/ISLR2/KANK3/KLF2/MTOR/NCK1/NHERF1/NRP1/OXTR/PEX11A/RAB11A/RAB5A/RASA1/RDX/ROCK1/SCNN1B/SEMA3E/SEMA4D/SEMA6A/SLC12A2/SLC12A9/SPTAN1/SPTB/TMOD2/TMOD3/TRPC1/TRPV4/TWF1/VIL1,55
GO:0045861,BP,GO:0045861,negative regulation of proteolysis,26/2567,75/6969,0.692704584,1,0.977374986,APP/BIRC5/CAAP1/CD109/CDKN2D/CRB2/DDX3X/DPEP1/HDAC6/IL10/MARCHF7/N4BP1/OGT/RECK/SERPINA7/SERPINB2/SERPINE1/SERPINI2/SLPI/STYX/TAF9/THBS1/TMED10/UABP-2/WAC/WNT1,26
GO:0097193,BP,GO:0097193,intrinsic apoptotic signaling pathway,26/2567,75/6969,0.692704584,1,0.977374986,ATM/BCL2A1/BCLAF1/BECN1/CASP9/CDKN2D/DDX3X/EPO/ERO1A/ERP29/GSKIP/MARCHF7/MELK/NFATC4/NFE2L2/NHERF1/NME5/PDCD10/PDX1/PIK3R1/PLAGL2/PRKRA/SIAH1/TOPORS/TP53/TP53BP2,26
GO:0008643,BP,GO:0008643,carbohydrate transport,14/2567,41/6969,0.694614137,1,0.977374986,APPL1/C3/FGF21/HNF1A/MAPK14/MFSD12/NFE2L2/PTPN11/RHOQ/SLC17A5/SLC2A12/SLC35A1/SLC35A3/SLC35A5,14
GO:0032874,BP,GO:0032874,positive regulation of stress-activated MAPK cascade,14/2567,41/6969,0.694614137,1,0.977374986,APP/BMP4/CD27/F2RL1/GADD45G/MAP4K2/MBIP/PDCD10/PJA2/RASSF2/TAOK1/TRAF5/TRAF6/TRPV4,14
GO:0045667,BP,GO:0045667,regulation of osteoblast differentiation,14/2567,41/6969,0.694614137,1,0.977374986,BAMBI/BMP4/BMPR1A/BMPR2/CEBPA/DNAI3/GDPD2/HOXA2/LRP3/LTF/RASSF2/SEMA4D/TENT5A/ZHX3,14
GO:0070304,BP,GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,14/2567,41/6969,0.694614137,1,0.977374986,APP/BMP4/CD27/F2RL1/GADD45G/MAP4K2/MBIP/PDCD10/PJA2/RASSF2/TAOK1/TRAF5/TRAF6/TRPV4,14
GO:0019693,BP,GO:0019693,ribose phosphate metabolic process,42/2567,120/6969,0.694789529,1,0.977374986,AASS/ACACA/ACAT1/ACLY/ACSL4/ACSM3/ACSS2/ADK/ADSS2/AK1/AK3/AMPD3/ATIC/ATP5ME/ATP5PB/ATP6/ATP8/CROT/DLAT/ELOVL3/GNAI3/GUCY1A1/HMGCS1/HPRT1/MFN1/NME4/NME5/NUDT7/PANK1/PANK2/PANK3/PDE4D/PDHA1/PDHB/PDHX/PDK3/PPAT/PRTFDC1/RHOQ/RNASEH2B/SULT1C3/SULT2A1,42
GO:0071417,BP,GO:0071417,cellular response to organonitrogen compound,52/2567,148/6969,0.696315154,1,0.977374986,ACTB/AHCYL1/APP/APPL1/ATP2B1/CACNB1/CAV2/COL5A2/CPEB4/CTNNB1/DPEP1/DRD1/FOXO4/GHSR/GNA14/GNAI3/GPER1/HTR1B/HTR2B/IGF1R/INSIG2/ITGA4/JAK2/LY6G6D/LYPD1/MTOR/MZB1/NCSTN/NHERF1/NR4A2/OGT/P2RY12/PCK1/PIK3R1/PIP4K2A/PKD2/PRKAR1A/PTPN11/RAP1A/RHOQ/ROCK1/RPS6/RPS6KB1/RRAGC/SESN3/SLC1A1/SLC2A4/SLC38A9/STAT1/TMEM38B/TSHR/ZNF106,52
GO:0030258,BP,GO:0030258,lipid modification,21/2567,61/6969,0.69707047,1,0.977374986,ACADL/ACADM/ACAT1/ACOX1/AUH/B3GALT1/BDH2/CPT1A/CROT/CYP1A1/HSD17B4/INPP5F/MAPK14/MTM1/MTMR1/MTMR2/MTMR7/PEX2/PHYH/PORCN/SLC27A2,21
GO:0042129,BP,GO:0042129,regulation of T cell proliferation,21/2567,61/6969,0.69707047,1,0.977374986,ANXA1/BCL6/BMI1/BMP4/CD274/CD86/FOXJ1/FOXP3/HAVCR2/HHLA2/IL15/JAK2/MARCHF7/PLA2G5/PRKAR1A/PTPN6/TFRC/TNFRSF9/TNFSF13B/TRAF6/ZP3,21
